Tanggal,Curah_Hujan_mm,Suhu_Rata_C,Nama Provinsi,Tahun,Bulan
2021-04-29,3.2,19.3,Aceh,2021,April
2021-04-30,5.5,19.5,Aceh,2021,April
2021-05-01,5.2,20.1,Aceh,2021,Mei
2021-05-02,20.9,19.8,Aceh,2021,Mei
2021-05-03,16.3,19.6,Aceh,2021,Mei
2021-05-04,16.4,19.5,Aceh,2021,Mei
2021-05-05,3.0,19.0,Aceh,2021,Mei
2021-05-06,12.1,19.4,Aceh,2021,Mei
2021-05-07,19.5,19.8,Aceh,2021,Mei
2021-05-08,15.1,20.1,Aceh,2021,Mei
2021-05-09,5.7,20.5,Aceh,2021,Mei
2021-05-10,2.4,20.1,Aceh,2021,Mei
2021-05-11,7.9,19.9,Aceh,2021,Mei
2021-05-12,9.2,19.9,Aceh,2021,Mei
2021-05-13,4.3,20.2,Aceh,2021,Mei
2021-05-14,8.0,19.8,Aceh,2021,Mei
2021-05-15,4.6,19.7,Aceh,2021,Mei
2021-05-16,16.8,20.5,Aceh,2021,Mei
2021-05-17,40.2,20.2,Aceh,2021,Mei
2021-05-18,1.8,20.2,Aceh,2021,Mei
2021-05-19,0.4,19.9,Aceh,2021,Mei
2021-05-20,0.6,20.9,Aceh,2021,Mei
2021-05-21,0.0,19.9,Aceh,2021,Mei
2021-05-22,0.0,20.0,Aceh,2021,Mei
2021-05-23,0.0,20.3,Aceh,2021,Mei
2021-05-24,0.0,20.5,Aceh,2021,Mei
2021-05-25,1.7,19.8,Aceh,2021,Mei
2021-05-26,14.7,20.0,Aceh,2021,Mei
2021-05-27,18.3,20.1,Aceh,2021,Mei
2021-05-28,0.5,19.8,Aceh,2021,Mei
2021-05-29,1.0,20.9,Aceh,2021,Mei
2021-05-30,3.7,20.1,Aceh,2021,Mei
2021-05-31,2.0,19.9,Aceh,2021,Mei
2021-06-01,14.1,19.6,Aceh,2021,Juni
2021-06-02,8.7,20.0,Aceh,2021,Juni
2021-06-03,8.5,20.3,Aceh,2021,Juni
2021-06-04,33.3,19.8,Aceh,2021,Juni
2021-06-05,8.8,19.3,Aceh,2021,Juni
2021-06-06,0.3,19.5,Aceh,2021,Juni
2021-06-07,0.0,19.9,Aceh,2021,Juni
2021-06-08,0.0,19.8,Aceh,2021,Juni
2021-06-09,0.0,20.0,Aceh,2021,Juni
2021-06-10,0.0,19.3,Aceh,2021,Juni
2021-06-11,0.3,20.0,Aceh,2021,Juni
2021-06-12,2.8,19.6,Aceh,2021,Juni
2021-06-13,0.9,19.5,Aceh,2021,Juni
2021-06-14,0.0,20.0,Aceh,2021,Juni
2021-06-15,0.3,20.5,Aceh,2021,Juni
2021-06-16,0.0,20.3,Aceh,2021,Juni
2021-06-17,0.0,19.7,Aceh,2021,Juni
2021-06-18,4.3,19.6,Aceh,2021,Juni
2021-06-19,2.2,20.4,Aceh,2021,Juni
2021-06-20,3.9,19.9,Aceh,2021,Juni
2021-06-21,15.9,18.7,Aceh,2021,Juni
2021-06-22,1.0,19.1,Aceh,2021,Juni
2021-06-23,1.4,19.0,Aceh,2021,Juni
2021-06-24,1.6,19.2,Aceh,2021,Juni
2021-06-25,6.8,18.8,Aceh,2021,Juni
2021-06-26,1.7,19.5,Aceh,2021,Juni
2021-06-27,12.3,19.3,Aceh,2021,Juni
2021-06-28,4.8,19.0,Aceh,2021,Juni
2021-06-29,9.0,18.7,Aceh,2021,Juni
2021-06-30,0.6,19.3,Aceh,2021,Juni
2021-07-01,1.8,19.4,Aceh,2021,Juli
2021-07-02,3.5,19.1,Aceh,2021,Juli
2021-07-03,13.2,19.7,Aceh,2021,Juli
2021-07-04,16.7,19.4,Aceh,2021,Juli
2021-07-05,45.5,19.6,Aceh,2021,Juli
2021-07-06,26.6,18.3,Aceh,2021,Juli
2021-07-07,0.0,18.9,Aceh,2021,Juli
2021-07-08,7.9,19.0,Aceh,2021,Juli
2021-07-09,55.3,18.7,Aceh,2021,Juli
2021-07-10,30.4,19.1,Aceh,2021,Juli
2021-07-11,26.2,18.6,Aceh,2021,Juli
2021-07-12,0.2,19.8,Aceh,2021,Juli
2021-07-13,0.8,20.1,Aceh,2021,Juli
2021-07-14,13.0,19.7,Aceh,2021,Juli
2021-07-15,2.6,19.2,Aceh,2021,Juli
2021-07-16,0.0,19.1,Aceh,2021,Juli
2021-07-17,0.0,18.7,Aceh,2021,Juli
2021-07-18,0.0,19.2,Aceh,2021,Juli
2021-07-19,0.0,19.4,Aceh,2021,Juli
2021-07-20,0.1,19.3,Aceh,2021,Juli
2021-07-21,0.4,19.9,Aceh,2021,Juli
2021-07-22,1.1,19.7,Aceh,2021,Juli
2021-07-23,3.7,19.5,Aceh,2021,Juli
2021-07-24,0.0,20.5,Aceh,2021,Juli
2021-07-25,0.0,20.5,Aceh,2021,Juli
2021-07-26,0.0,19.9,Aceh,2021,Juli
2021-07-27,0.7,19.5,Aceh,2021,Juli
2021-07-28,1.3,19.4,Aceh,2021,Juli
2021-07-29,0.3,19.5,Aceh,2021,Juli
2021-07-30,0.1,19.7,Aceh,2021,Juli
2021-07-31,5.0,18.8,Aceh,2021,Juli
2021-08-01,0.4,19.3,Aceh,2021,Agustus
2021-08-02,0.0,20.0,Aceh,2021,Agustus
2021-08-03,0.5,19.6,Aceh,2021,Agustus
